"指導事項
コード",指導事項,"指導内容区分
コード",指導内容区分（変更後）,"指導内容
コード",指導内容（変更後）,,"作成マーク1：指導内容区分マスタにて登録
作成マーク2：指導内容マスタにて登録"
01,経営革新,01,経営革新,01,情報提供,,
01,経営革新,01,経営革新,02,説明指導,,
01,経営革新,01,経営革新,03,作成指導,,
01,経営革新,01,経営革新,04,専門家による指導,,
01,経営革新,01,経営革新,05,その他,,
02,経営一般,01,経営状況ヒアリング,01,情報提供,,
02,経営一般,01,経営状況ヒアリング,02,説明指導,,
02,経営一般,01,経営状況ヒアリング,03,作成指導,,
02,経営一般,01,経営状況ヒアリング,04,専門家による指導,,
02,経営一般,01,経営状況ヒアリング,05,その他,,
02,経営一般,02,経営分析,01,情報提供,,
02,経営一般,02,経営分析,02,説明指導,,
02,経営一般,02,経営分析,03,作成指導,,
02,経営一般,02,経営分析,04,専門家による指導,,
02,経営一般,02,経営分析,05,その他,,
02,経営一般,03,経営計画・事業計画,01,情報提供,,
02,経営一般,03,経営計画・事業計画,02,説明指導,,
02,経営一般,03,経営計画・事業計画,03,作成指導,,
02,経営一般,03,経営計画・事業計画,04,専門家による指導,,
02,経営一般,03,経営計画・事業計画,05,その他,,
02,経営一般,04,法認定,01,情報提供,,
02,経営一般,04,法認定,02,説明指導,,
02,経営一般,04,法認定,03,作成指導,,
02,経営一般,04,法認定,04,専門家による指導,,
02,経営一般,04,法認定,05,その他,,
02,経営一般,05,持続化補助金,01,情報提供,,
02,経営一般,05,持続化補助金,02,説明指導,,
02,経営一般,05,持続化補助金,03,作成指導,,
02,経営一般,05,持続化補助金,04,専門家による指導,,
02,経営一般,05,持続化補助金,05,その他,,
02,経営一般,06,ものづくり補助金,01,情報提供,,
02,経営一般,06,ものづくり補助金,02,説明指導,,
02,経営一般,06,ものづくり補助金,03,作成指導,,
02,経営一般,06,ものづくり補助金,04,専門家による指導,,
02,経営一般,06,ものづくり補助金,05,その他,,
02,経営一般,07,その他補助金,01,情報提供,,
02,経営一般,07,その他補助金,02,説明指導,,
02,経営一般,07,その他補助金,03,作成指導,,
02,経営一般,07,その他補助金,04,専門家による指導,,
02,経営一般,07,その他補助金,05,その他,,
02,経営一般,08,商品開発,01,情報提供,,
02,経営一般,08,商品開発,02,説明指導,,
02,経営一般,08,商品開発,03,作成指導,,
02,経営一般,08,商品開発,04,専門家による指導,,
02,経営一般,08,商品開発,05,その他,,
02,経営一般,09,法人化,01,情報提供,,
02,経営一般,09,法人化,02,説明指導,,
02,経営一般,09,法人化,03,作成指導,,
02,経営一般,09,法人化,04,専門家による指導,,
02,経営一般,09,法人化,05,その他,,
02,経営一般,10,記帳指導(経理全般),01,情報提供,,
02,経営一般,10,記帳指導(経理全般),02,説明指導,,
02,経営一般,10,記帳指導(経理全般),03,作成指導,,
02,経営一般,10,記帳指導(経理全般),04,専門家による指導,,
02,経営一般,10,記帳指導(経理全般),05,その他,,
02,経営一般,11,法律相談,01,情報提供,,
02,経営一般,11,法律相談,02,説明指導,,
02,経営一般,11,法律相談,03,各種手続き,,
02,経営一般,11,法律相談,04,専門家による指導,,
02,経営一般,11,法律相談,05,その他,,
02,経営一般,12,許認可(営業許可等),01,情報提供,,
02,経営一般,12,許認可(営業許可等),02,説明指導,,
02,経営一般,12,許認可(営業許可等),03,各種手続き,,
02,経営一般,12,許認可(営業許可等),04,専門家による指導,,
02,経営一般,12,許認可(営業許可等),05,その他,,
02,経営一般,13,知的財産(特許等),01,情報提供,,
02,経営一般,13,知的財産(特許等),02,説明指導,,
02,経営一般,13,知的財産(特許等),03,各種手続き,,
02,経営一般,13,知的財産(特許等),04,専門家による指導,,
02,経営一般,13,知的財産(特許等),05,その他,,
02,経営一般,14,倒産防止共済,01,情報提供,,
02,経営一般,14,倒産防止共済,02,説明指導,,
02,経営一般,14,倒産防止共済,03,各種手続き,,
02,経営一般,14,倒産防止共済,04,専門家による指導,,
02,経営一般,14,倒産防止共済,05,その他,,
02,経営一般,15,小規模企業共済,01,情報提供,,
02,経営一般,15,小規模企業共済,02,説明指導,,
02,経営一般,15,小規模企業共済,03,各種手続き,,
02,経営一般,15,小規模企業共済,04,専門家による指導,,
02,経営一般,15,小規模企業共済,05,その他,,
02,経営一般,16,中退共・特退共,01,情報提供,,
02,経営一般,16,中退共・特退共,02,説明指導,,
02,経営一般,16,中退共・特退共,03,各種手続き,,
02,経営一般,16,中退共・特退共,04,専門家による指導,,
02,経営一般,16,中退共・特退共,05,その他,,
02,経営一般,17,商工貯蓄・福祉・まかせて共済,01,情報提供,,
02,経営一般,17,商工貯蓄・福祉・まかせて共済,02,説明指導,,
02,経営一般,17,商工貯蓄・福祉・まかせて共済,03,各種手続き,,
02,経営一般,17,商工貯蓄・福祉・まかせて共済,04,専門家による指導,,
02,経営一般,17,商工貯蓄・福祉・まかせて共済,05,その他,,
02,経営一般,18,火災・自転車・まごころ共済,01,情報提供,,
02,経営一般,18,火災・自転車・まごころ共済,02,説明指導,,
02,経営一般,18,火災・自転車・まごころ共済,03,各種手続き,,
02,経営一般,18,火災・自転車・まごころ共済,04,専門家による指導,,
02,経営一般,18,火災・自転車・まごころ共済,05,その他,,
02,経営一般,19,その他・経営一般,01,情報提供,,
02,経営一般,19,その他・経営一般,02,説明指導,,
02,経営一般,19,その他・経営一般,03,作成指導,,
